Clade.1,Clade.2,Clade.3,Sec_Ref,Primary_Ref,Method,Taxon,EBM.ref.sp,Aves,BM.g,Pneumatic,BM.Qual,Meas.sp,HumerusLen,HumerusCirc,FemurCirc,FemurLen,TibulaLen,TibiaCirc,TarsusLen,TarusCirc,Sex,Comments,Living,humerus_diameter_(mm),tarsus_diameter_(mm),coracoid_HAF_(mm),coracoid_HAF_(mm),coracoid_max_length
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Coelophysis_rhodesiensis,QG_1,N,13000,,,QG_1,,,56,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Coelophysis_rhodesiensis,QG_1,N,13800,,,QG_1,,,56,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Albertosaurus_sarcophagus,ROM_807,N,2500000,,,ROM_807,,,350,,,,,,,Referred_to_Albertosaurus_arctunguis_by_Paul_(1988),0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Paul_(1988),Physical,Ornithomimus_edmontonensis,ROM_851,N,110000,,,ROM_851,,,110,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Ornithomimus_edmontonensis,ROM_851,N,155000,,,ROM_851,,,110,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Paul_(1988),Physical,Dromiceiomimus_brevitertius,ROM_867,N,144000,,,ROM_852,,,127.5,468,,,,,,ROM_867_(FL=468mm)_similar_in_size_to_ROM_852_(FL=437mm),0,,,,,
Theropoda,Theropoda,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Herrerasaurus_ischigualastensis,Several,N,145000,,,PVL_2566,,,165.5,,,,,,,"Several_specimens_used_in_reconstruction,_but_likely_used_information_on_the_holotype_(PVL_2566)_so_partial_match",0,,,,,
Theropoda,Theropoda,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Herrerasaurus_ischigualastensis,Several,N,347800,,,PVL_2566,,,165.5,,,,,,,"Several_specimens_used_in_reconstruction,_but_likely_used_information_on_the_holotype_(PVL_2566)_so_partial_match",0,,,,,
Theropoda,Ceratosauria,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Deltadromeus_agilis,SGMDin2,N,1048900,,,SGMDin2,,,191,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Saurornitholestes_langstoni,TMP_1988.121.0039,N,22500,,,TMP_88.121.39,,,63,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Albertosaurus_sarcophagus,TMP_81.10.1,N,1170000,,,TMP_81.10.1,,,316.5,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Dilophosaurus_wetherilli,UCMP_37302,N,283000,,,UCMP_37302,,,173,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Dilophosaurus_wetherilli,UCMP_37302,N,325000,,,UCMP_37302,,,173,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Henderson_&_Snively_(2004),Slicing,Dilophosaurus_wetherilli,UCMP_37302,N,355200,,,UCMP_37302,,,173,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Snively_et_al._(2019),Slicing,Dilophosaurus_wetherilli,UCMP_37302,N,372070,,,UCMP_37302,,,173,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Allen_et_al._(2013),Scan,Dilophosaurus_wetherilli,UCMP_37302,N,462000,,Mean,UCMP_37302,,,173,,,,,,,,0,,,,,
Theropoda,Megalosauroidea,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Afrovenator_abakensis,UCOBA_1,N,826600,,,UCOBA_1,,,275,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Paul_(2010),Physical,Nothronychus_graffami,UMNH_VP16420,N,850000,,,UMNH_VP16420,,,289,,,,,,,,0,,,,,
Theropoda,Ceratosauria,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Ceratosaurus_nasicornis,USNM_4735,N,418400,,,USNM_4735,,,267,,,,,,,,0,,,,,
Theropoda,Ceratosauria,,Campione_&_Evans_2020,Paul_(1988),Physical,Ceratosaurus_nasicornis,USNM_4735,N,524000,,,USNM_4735,,,267,,,,,,,,0,,,,,
Theropoda,Ceratosauria,,Campione_&_Evans_2020,Henderson_&_Snively_(2004),Slicing,Ceratosaurus_nasicornis,USNM_4735,N,647500,,,USNM_4735,,,267,,,,,,,,0,,,,,
Theropoda,Ceratosauria,,Campione_&_Evans_2020,Snively_et_al._(2019),Slicing,Ceratosaurus_nasicornis,USNM_4735,N,678260,,,USNM_4735,,,267,,,,,,,,0,,,,,
Theropoda,Allosauroidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Allosaurus_fragilis,UUVP_6000,N,1320000,,,AMNH_6125,,,338,860,,,,,,YPM_1890_(FL=860mm)_similar_in_size_to_AMNH_6125_(FL=850mm);_Allosaurus_atrox_according_to_Paul_(1988),0,,,,,
Theropoda,Allosauroidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Allosaurus_fragilis,YPM_1930,N,1010000,,,AMNH_6125,,,338,770,,,,,,YPM_1930_(FL=770mm)_similar_in_size_to_AMNH_6125_(FL=850mm);_both_are_smaller_than_the_largest_specimens_(FL=1000mm),0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Therrien_&_Henderson_(2007),Slicing,Deinonychus_antirrhopus,YPM_5232,N,56670,,,MCZ_4371,,,116,284,,,,,,"AMNH_3015_(FL=284mm)_smaller_than_MCZ_4371_(FL=335mm),_though_comparable_in_other_measurements",0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Deinonychus_antirrhopus,YPM_5232/AMNH_3015,N,44300,,,MCZ_4371,,,116,284,,,,,,"AMNH_3015_(FL=284mm)_smaller_than_MCZ_4371_(FL=335mm),_though_comparable_in_other_measurements",0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Colbert_(1962),Physical,Tyrannosaurus_rex,CM_9380,N,6895000,,,CM_9380,,,534,,,,,,,V._Fusco_reconstruction;_large_thoracic_region_and_may_be_an_overestimate_according_to_Colbert_(1962);_likely_based_on_the_holotype,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Alexander_(1985),Physical,Tyrannosaurus_rex,CM_9380,N,7700000,,,CM_9380,,,534,,,,,,,V._Fusco_reconstruction;_recalculated_from_Colbert_(1962)_using_a_density_of_1000kg/m3_compared_to_the_original_900kg/m3,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Deinonychus_antirrhopus,MCZ_4371,N,73000,,,MCZ_4371,,,116,284,,,,,,"AMNH_3015_(FL=284mm)_smaller_than_MCZ_4371_(FL=335mm),_though_comparable_in_other_measurements",0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Avimimus_portentosus,PIN_39071/39073,N,14000,,,PIN_39071/39073,,,52.8,,,,,,,,0,,,,,
