Clade.1,Clade.2,Clade.3,Sec_Ref,Primary_Ref,Method,Taxon,EBM.ref.sp,Aves,BM.g,Pneumatic,BM.Qual,Meas.sp,HumerusLen,HumerusCirc,FemurCirc,FemurLen,TibulaLen,TibiaCirc,TarsusLen,TarusCirc,Sex,Comments,Living,humerus_diameter_(mm),tarsus_diameter_(mm),coracoid_HAF_(mm),coracoid_HAF_(mm),coracoid_max_length
Neognathae,Sphenisciformes,Spheniscidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Aptenodytes_patagonicus,MCZ_7478,Y,11731.1,,,,115,,,115,176,,46.7,,,,1,,,,,
Neognathae,Anseriformes,Anatidae,Brinkworth_et_al_2023,"Watanabe_J.,_2018._Evolution,_72(12):_26322652.",Physical,Cygnus_olor,USNM_320983,Y,10682,,,,316,,,114.7,215,,121.8,,,,1,,,,,
Neognathae,Gruiformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Grus_canadensis,ROM_128182,Y,4445,0,,,202.4,41,32.55,114.15,234.65,26.8,,,,,1,,,,,
Neognathae,Anseriformes,Anatidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Cygnus_[columbianus],MCZ_3544,Y,6378,,,,310,,,114,212,,113,,,,1,,,,,
Neognathae,Procellariiformes,Diomedeidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Diomedea_exulans,NHMLAC_unknown,Y,6961.3,,,,418,,,113.86,215.5,,123.52,,,,1,,,,,
Neognathae,Ciconiiformes,Ciconiidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Leptoptilos_javanicus,NHMLAC_unknown,Y,4651,,,,232.5,,,113.48,307.5,,252.5,,,,1,,,,,
Neognathae,Galliformes,Phasianidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Meleagris_ocellata,NHMLAC_unknown,Y,5525,,,,126.12,,,113.33,187,,136.77,,,,1,,,,,
Neognathae,Gruiformes,Gruidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Antigone_canadensis,MCZ_1336,Y,4296.22,,,,208,,,113,268,,242,,,,1,,,,,
Neognathae,Ciconiiformes,Ciconiidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Ephippiorhynchus_senegalensis,NHMLAC_unknown,Y,6158.7,,,,235.5,,,112.99,362.5,,309,,,,1,,,,,
Neognathae,Accipitriformes,Sagittariidae,Brinkworth_et_al_2023,"Bohmer_et_al.,_2019._.Proc.R.soc.B",Physical,Sagittarius_serpentarius,MNHN_ZO_1892965,Y,4017,,,,,,,112.9700003,279.900001,,281.2000024,,,,1,,,,,
Neognathae,Anseriformes,Anatidae,Brinkworth_et_al_2023,"Watanabe_J.,_2018._Evolution,_72(12):_26322652.",Physical,Cygnus_buccinator,MVZ_120361,Y,11071.1,,,,289,,,112.9,210,,117.9,,,,1,,,,,
Neognathae,Procellariiformes,Diomedeidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Diomedea_epomophora,NHMLAC_unknown,Y,8905.6,,,,426,,,112.71,219,,127.31,,,,1,,,,,
Neognathae,Ciconiiformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Ephippiorhynchus_senegalensis,ROM_35467,Y,4210,1,,,233,48,43.6,112.62,365.5,35,,,,,1,,,,,
Neognathae,Pelecaniformes,Pelecanidae,Brinkworth_et_al_2023,"Zeffer_et_al.,_2003._Bio.J.Linn.Soc",Physical,Pelecanus_occidentalis,Unknown,Y,3427.8,,,,,,,112.2,155,,102.7,,,,1,,,,,
Neognathae,Galliformes,Cracidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Crax_rubra,NHMLAC_unknown,Y,4133,,,,116.11,,,112.16,165.5,,107.6,,,,1,,,,,
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Nisaetus_nipalensis,NHMLAC_unknown,Y,3005,,,,153.01,,,112.11,152.37,,105.68,,,,1,,,,,
Neognathae,Gruiformes,Gruidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Anthropoides_virgo,MCZ_7569,Y,2417,,,,215,,,112,251,,217,,,,1,,,,,
Neognathae,Anseriformes,Anatidae,Brinkworth_et_al_2023,"Watanabe_J.,_2018._Evolution,_72(12):_26322652.",Physical,Cygnus_olor,USNM_557526,Y,10682,,,,302,,,112,206.9,,116.9,,,,1,,,,,
Neognathae,Anseriformes,Anatidae,Brinkworth_et_al_2023,"Zeffer_et_al.,_2003._Bio.J.Linn.Soc",Physical,Cygnus_cygnus,Unknown,Y,9350,,,,,,,111.9,208,,125.4,,,,1,,,,,
Neognathae,Pelecaniformes,Pelecanidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Pelecanus_erythrorhynchos,NHMLAC_unknown,Y,5608.5,,,,316.5,,,111.2,182.5,,122.49,,,,1,,,,,
